s	SAMD00115015	SAMD00115025	SAMD00115027	SAMD00114971	SAMD00114968	SAMD00114970	SAMD00115016	SAMD00115017	SAMD00115019	SAMD00115023	SAMD00114973	SAMD00115018	SAMD00115022	SAMD00114997	SAMD00115032	SAMD00114998	SAMD00114995	SAMD00114996	SAMD00115033	SAMD00114736	SAMD00114745	SAMD00114747	SAMD00114832	SAMD00114741	SAMD00114833	SAMD00114757	SAMD00114834	SAMD00114815	SAMD00114974	SAMD00114979	SAMD00114769	SAMD00114770	SAMD00114771	SAMD00114975	SAMD00114773	SAMD00114718	SAMD00114976	SAMD00114977	SAMD00114719	SAMD00114720	SAMD00114721	SAMD00114984	SAMD00114800	SAMD00114982	SAMD00114795	SAMD00114986	SAMD00114796	SAMD00114987	SAMD00114798	SAMD00114989	SAMD00114990	SAMD00114991	SAMD00114992	SAMD00114780	SAMD00114781	SAMD00114994	SAMD00114778	SAMD00114779	SAMD00114730	SAMD00115001	SAMD00114734	SAMD00115002	SAMD00115003	SAMD00115004	SAMD00114789	SAMD00114791	SAMD00114792	SAMD00114783	SAMD00114784	SAMD00115008	SAMD00114785	SAMD00115009	SAMD00115005	SAMD00115012	SAMD00114819	SAMD00114807	SAMD00114809	SAMD00114812	SAMD00114829	SAMD00114830	SAMD00114862	SAMD00114858	SAMD00114824	SAMD00114818	SAMD00114842	SAMD00114843	SAMD00114845	SAMD00114850	SAMD00114865	SAMD00114867	SAMD00114869	SAMD00114854	SAMD00114859	SAMD00114837	SAMD00114838	SAMD00114860	SAMD00114926	SAMD00114888	SAMD00114889	SAMD00114872	SAMD00114873	SAMD00114938	SAMD00114929	SAMD00114874	SAMD00114932	SAMD00114940	SAMD00114895	SAMD00114876	SAMD00114942	SAMD00114898	SAMD00114908	SAMD00114918	SAMD00114950	SAMD00114913	SAMD00114953	SAMD00114945	SAMD00114880	SAMD00114959	SAMD00114899	SAMD00114881	SAMD00114882	SAMD00114900	SAMD00114901	SAMD00114963	SAMD00114885	SAMD00114906	SAMD00114967	SAMD00136653	SAMD00164727	SAMD00164729	SAMD00164748	SAMD00154991	SAMD00164756	SAMD00164758	SAMD00154992	SAMD00136648	SAMD00164773	SAMD00164774	SAMD00164803	SAMD00164805	SAMD00164806	SAMD00164809	SAMD00164814	SAMD00164819	SAMD00164823	SAMD00164824	SAMD00164825	SAMD00164827	SAMD00164828	SAMD00164833	SAMD00164835	SAMD00164837	SAMD00164840	SAMD00164848	SAMD00164849	SAMD00164853	SAMD00164855	SAMD00164856	SAMD00164862	SAMD00164865	SAMD00164870	SAMD00164873	SAMD00164877	SAMD00164878	SAMD00164879	SAMD00164881	SAMD00164882	SAMD00164886	SAMD00164888	SAMD00164890	SAMD00164891	SAMD00164895	SAMD00164896	SAMD00164897	SAMD00164898	SAMD00164899	SAMD00164901	SAMD00164902	SAMD00164904	SAMD00164908	SAMD00164909	SAMD00164911	SAMD00164914	SAMD00164915	SAMD00164916	SAMD00164917	SAMD00164918	SAMD00164920	SAMD00164923	SAMD00164926	SAMD00164927	SAMD00164929	SAMD00164930	SAMD00164931	SAMD00164933	SAMD00164934	SAMD00164935	SAMD00164936	SAMD00164938	SAMD00164939	SAMD00164941	SAMD00164947	SAMD00164949	SAMD00164950	SAMD00164951	SAMD00164952	SAMD00164953	SAMD00164954	SAMD00164955	SAMD00164956	SAMD00164957	SAMD00164958	SAMD00164960	SAMD00164961	SAMD00164962	SAMD00164963	SAMD00164964	SAMD00164965	SAMD00164966	SAMD00164967	SAMD00164969	SAMD00164972	SAMD00164973	SAMD00164983	SAMD00164986	SAMD00164996	SAMD00164999	SAMD00165001	SAMD00165004	SAMD00165008	SAMD00165010	SAMD00165015	SAMD00165020	SAMD00165021	SAMD00165022	SAMD00165023	SAMD00165024	SAMD00165025	SAMD00165026	SAMD00165027	SAMD00165028	SAMD00165029	SAMD00165030	SAMD00165031	SAMD00165032	SAMD00165033
s__Bacteroides_dorei	2.020535	0.043183	0.439058	0	0	0	4.589232	5.679584	0.458473	0	0.121637	0.049606	2.619071	0	0	0	1.139207	0	3.077106	8.788026	30.193183	0	0	7.761230	12.530284	1.163145	20.454082	0	0.045800	26.257878	0.339382	0.001630	0	0.660828	0	9.751503	0	17.740661	0.485128	11.277871	3.202974	0	0	7.557142	0	1.133060	7.121313	1.019611	0	8.322078	0.001180	8.499012	9.086093	0.738820	0.087986	0	9.887222	0.000460	0	5.588328	0.271030	0.000730	16.915313	0	0.248486	6.916991	1.643001	0.002290	0.006070	0.523648	1.109690	6.268138	0	0.027793	4.961013	0	1.275831	0	16.887300	3.371534	7.251787	0	0	1.990494	0	0.153200	0.053745	0.194330	0	2.981662	3.930304	0	0	0	11.151799	0.942850	13.438455	0.298998	0.785592	0	0	6.455338	17.435019	25.286541	10.501160	0	0.337473	0.242322	10.458878	0	0	19.991590	16.378465	0	0	0.531625	2.298692	2.708069	0.511950	0	20.290308	0.016968	0	0	0	36.671200	0.142134	54.795605	0.003733	0	0.002080	7.032333	0	4.389322	25.461577	5.861479	15.338300	2.351537	0.302802	11.754396	18.713962	1.493190	0	1.128336	0	0	18.224244	4.662721	0	11.545003	8.226623	0.061414	0	1.736527	0	7.761250	3.648817	0.045866	1.443489	0	4.497921	0.325440	0.781750	1.177282	12.237198	0	1.864141	0	12.951473	0.072996	0	1.926597	0.474847	0	0.187905	0	8.919723	8.771865	5.748401	1.230050	2.007951	0	13.386815	13.727042	0.254731	0.045960	2.819739	0.368190	0.009040	3.084920	0.069984	2.711390	6.124155	1.441913	0	0	14.311074	0.209625	6.241381	3.273043	0	25.664581	3.484161	7.718894	4.151864	0	0	0	1.430321	0	0	12.474154	10.622206	0.258205	0	0	22.186153	0.691243	0.036535	0	0.311400	1.095200	21.627088	0	5.412600	6.208832	0.499090	0	13.265723	0.413770	13.997289	15.486224	0	1.778284	3.602516	16.452841	0	0.269747	6.563970	0	0	9.427487	0.041437	0	0.616258	0
s__Bacteroides_eggerthii	0	0	2.604915	0	0	0	0	0	0	0	0	0.049736	0	0	0	0.074064	0.003670	0	0	0	0	0	0	7.176377	0	0	0	0	0	0	0	0.015672	0	0	0.156215	0.017798	1.337923	0	0	0.151829	0	0	0	5.495145	0	0.008750	0	0	0	1.935709	0	4.272396	0	0.003521	0.011601	0	0	2.072920	0	0	0	0	6.827288	0	0	0	0	0	0	0	0	0	0	0	0.412447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.098420	0	0.008650	0	0	0	0	0.019913	1.098949	0	0.567170	0	0	0	4.266840	0	0.009820	0	10.632108	0	0.145621	0	0	0	0	0	7.899297	0	0	0	0	0	0	1.175254	0	0	0.757791	0	0	0	0	1.666355	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236884	0	6.870862	0	0	0	0.088885	0	0	0	0	0	0.519598	0	0	0	0	0	0	2.313366	0	0.044326	0	0.667470	0	0.440979	0	0	0	0	0	0	0	0	0	0.700990	0	0	0	0	0	0	0.297240	0.002570	0	0	0	0	0	0.163694	0	0	0	0	0	0	0	0	0	0	24.526186	0	0	0.081525	0	0	0	0	2.518617	0	0	0	0	0	0	0	0	0	0	0	6.079492	0	0	3.622109	0	0	10.756333	0	0	1.125845	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_faecichinchillae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000450	0	0	0	0	0	0	0	0	0	0	0.050961	0	0	0	0	0.006390	0	0	0	0	0.002330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630599	0	0	0	1.036558	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519836	0	0	0	0	0	0.058430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017048	0.622518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.340134	0	0	0	0	0	0	0	0	0	0	0	0	0	2.506432	0	0	0	0	0	0	0	0.060894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024340	0	0	0	0	0	0	0	0	0	0	2.507563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.634428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.753246	3.836102	0	0	0
s__Bacteroides_faecis_CAG_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150557	0	0.032733	0	0.396118	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253098	0	0	0	0	0	0.297980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.336986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_finegoldii	0	0	0	0.032461	0	0	3.392932	0	0.069229	0	0	0.004445	0	0	0	0	0.005184	0	0.325222	0	0	0	0.555635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.593977	0	0	0.375040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.461940	0.000680	0	0	0	0	3.893249	0	0	0	0	0	1.305423	0	0.095886	0	0	0	0	0	0	0.085056	0	0	1.177076	0	0	0	0	0	0	0	0	3.364066	0	0.162910	0	0	0	4.996710	0	0	0.781012	0	0	0.587383	0	0	0.003804	0	0.239035	0.213249	0	1.116070	0	0	0	0	2.293336	0	0	3.490097	0	0	0	0	0	0	0	0	0.250718	2.949636	0	0	4.148422	0	6.310750	0	0.159146	1.004270	0	0	0.019359	0	0	6.253613	0	0	0	0	0	0	0.419404	0	3.900518	0	0	0	1.697832	0.259884	0.468790	0.227072	0	0	0.112381	0	0	0.013210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082400	0	0	0	0.493005	0	0	1.231631	0	0	0	0	5.969690	0	0.606275	0	0	0	0	0	0.550258	0	0	0	0	0	0	0	0	0.003600	0	0	0	0	0	1.459350	0	0.130460	0	0	0	13.530129	0	0	0	0	0	0	1.482511	3.201520	0	0	0	0	0	0	0
s__Bacteroides_fluxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_fragilis	1.162844	0	0	0	0.006701	0	3.628048	0.009901	0.052784	0.050266	0.066225	0	0	0.008490	0	1.882349	0	0.304310	0	3.719869	0	4.275539	0	0	0.790020	0	0	78.522304	1.991790	1.571386	0.004150	0.004400	2.560415	0	0	0	0.579935	2.337848	0	0	0.965282	0.062480	0	0	0	0	0.240719	0.113669	0.083390	0.043400	0.180713	0	0	0.029414	0	0	0	0	0	0	0	14.989613	0	0	1.330704	0	0	0	1.394990	0	1.100070	0	0	0.111361	0.320734	0.259422	0	0.036513	0.156170	7.012217	0	2.340342	0	0	0	0	0	0	0	0	0.022914	26.533521	0	0.225880	0.068061	0	0.774181	0	0.120714	1.792517	0	0.040154	0	1.749326	0	0	0	0	0.649938	0	0	2.044550	0.064392	0.000140	13.127745	0	0	0	0	0	2.986791	0	1.621740	0.084804	0	0	0	0.045730	1.178918	0	6.534359	0.023260	0	0.840766	2.553005	0.318538	0	0	0.011270	0	0.091351	1.228090	0.088457	0	0	0	0	0	6.277230	4.750983	0	0	0	0.002840	2.419289	0.383960	0.923451	0	0.003791	0	9.448879	12.006104	0	0	0.129242	0.415320	0.040366	0	0.010440	0.115632	2.884289	0.243494	0	0.238799	0.033561	0	0	0	0	0	0	0.784980	0.062680	0.106192	0	0	0	0	0	0	0	0	1.250334	0	0	0	0	0.074035	0	0	0.000990	0	0	0.287516	0	0.025482	0.530381	0	0	0	0.715056	5.287583	0.583839	0	0.187396	0.235940	0.096370	0.285394	0	0	0.572340	0	0.002910	0	0.000880	1.479020	0	0	0.972202	0	0.082540	0.119092	0	0	1.656425	6.294527	0.102798	0	0	0.607080	0	0	0.288996	0	0	0
s__Bacteroides_galacturonicus	0	0.004820	0	0	0	0	0	0	0	0	0	0	1.517331	0	0	0	0	0	0	0	0	0	0	0.063920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.691613	0	0	0	0.044641	0	0	0	0	0	0	0.015707	0	0	0	0	0	0	0.004633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000851	0	0	0.005330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002453	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061554	0.009573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217450	0	0	0	0	0	0	0	0.032470	0	0	0	0	0	0.118500	0	0	0.004867	0	0.002720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094593	0	0	0	0	0	0	0	0	0	0	0	0	0.013150	0	0	0	0	0	0	0	0	0	0	0	0.001050	0.000650	0	0	0	0	0	0.024750	0	0	0	0	0.081986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001290	0	0	0	0	0.016941	0	0	0
s__Bacteroides_heparinolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.475530	0	0	0	0	0	0	0	0.002140	0	0	0	0	0	0	0	0	0.000850	0	0	0.023061	0.068452	0	0	0.020252	0	0.040721	0	0	0	0	2.919620	0	0	0	0	0	0	0	0	0.023892	0	0	0.093010	0	0	0	0	0	0	0.036431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627783	0	0	0	0.031992	0	0.048860	0.531841	0	0	0	0.028955	0	0	0	0	0	0	0	0	0	0.009570	0.480363	0	0	0	0	0	0	0	0.208494	0.086842	0.188850	0	0	0	0	0	0	0	0	0	0	0	5.751756	0	0.085540	0	0	0	0.557643	0	0	0	0	0	0	3.181701	0	0	0	0	0	0	0.894937	0	0	0	0	0	0.018211	0	0	0	0	0.672213	0	0	0	0	0	0	0	0	0.098522	0	0	0.051097	0	0	0	0	0	0	0	0.050231	0	0	0	0.033712	0	0.023480	0	3.280431	0.387241	0	0	0	0	0	0	0.060914	0.010491	0	0.087206	0	0	0	0	0.954580	0	0.001200	0	8.929990	0	0	0	0	0	0.084776	0	0	0	1.681151	0	0	0	0	0	0	0.055691	0	0	0	0	0	0	0.375130	0	0	0.054260	0	0	0	0.067305	0	0	0.034733	0	0	0	0	0	0	0	0	0
s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.781960	0	0.126594	0	0	0	0	0	0.064558	0	0	0	0	0	0	0	0	0.107701	0	0.790045	0.496224	0	0	0.877744	0.152012	1.896102	0	4.767618	0	4.520759	1.362029	0	2.205862	0	0	0	0	0	0	0	0	1.388940	0.553361	0	0.613613	0	0	0	0	0	0	0	6.545903	0	0	0.116497	0	0.220200	0	0	0	0	0	0.455149	0	0	1.120930	0	7.346780	0	0	0.511380	0.971402	1.817319	0	1.645061	0	0	0	0	4.732746	0.301190	0	0	0	0	0.138220	0	0	0	2.412310	0	0	0	0	0	0.485118	0	0	0.174419	0	0	2.128863	4.807319	0	0	0	0.008091	0	0	0	0	1.195903	0	0	5.369447	0	0	0	0	0	0	0	0	0.414582	0.858090	0	0	1.208253	0.332285	0.578610	0	2.234750	0.423714	0	0	0	0.024451	0	0	0	0	1.813256	0	0	2.828084	0	0	0.774810	1.088640	0	0	0	0	2.140350	0	0	0	0	0	0.146284	0	1.424390	0	0	0	1.483391	0	0	0.620069	0	0	0.121830	0	0	0	0.673732	0	0	0.181373	0	0	1.751385	0	1.439590	0	0	0	0.578875	0	0	0	0	0	0.429031	1.660904	0	0	0	0.518701	0	0	0	0	0	0	0	1.278979	0	0	0	0	1.910680	0.913740	0	0	2.169340	0	0	1.431310	0.415149	0	0	3.353896	0	0	0	1.564001	0	0	0	0
s__Bacteroides_nordii	0	0	0	0	0	0	0.007700	0	0	0	0	0	0	0	0	0	0	0.022990	0	0	0	0	0	0	0.098880	0	0	0	0	0	0	0	0.001620	0	0	0	0	0	0	0	0	0	0	0	0	0.005140	0	0	0	0	0	0.044140	0	0	0	0	0	0	0	0	0	0	0	0	0.008100	0.000680	0	0	0	0	0	0	0	0	0.001312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002540	0	0.014870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004760	0.038930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007411	0	0	0	0	0	0	0	0	0	0.016654	0	0	0	0.002720	0	0	0	0.121463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_oleiciplenus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_ovatus	0.315600	0	2.043722	0.030311	5.652215	0	2.094331	0	0.320116	0.171021	0.162886	0.107542	0.373990	0	1.256290	0.114392	0.364783	0.108000	0.001616	2.164989	1.551430	0.500680	0.634635	0.992449	0.601190	0.173322	0	0	0.840880	1.488866	0.074867	0.175698	0.631696	0.275517	0.607808	3.394576	3.018187	6.106903	0.610858	3.052484	0.173799	0.629172	1.835674	0	1.424315	0.047820	0.985896	0.280642	8.480942	0.481729	0	2.012116	0.000700	0.327799	0.256729	0.917630	0	0.081340	1.025168	0	0.233690	0	0.625130	0	1.385875	0	4.069392	0	0	0.203560	0.127470	0.537675	0	0	0.165866	0	0.039241	0.662437	0.479510	2.394270	0	0.074952	16.983080	0.816767	0	0.447890	0.089909	0	0	0.395732	0	7.695416	0.545258	2.098920	0.158731	0.071160	0.333626	0.154565	0	0	0.379460	0.864126	2.772851	2.446008	0.845710	0	0.102454	0.331070	0	0.113269	0.004741	11.270560	0	0.059751	3.472363	0.003492	1.384716	16.408957	0.364710	0	0	0.447689	2.490129	0.033162	0.000720	1.284980	0	0	0.291407	1.381320	12.816849	0.276571	1.738727	1.272625	0	2.656603	1.042950	0.639642	0.017270	0	1.962379	0.015570	0.822593	0.301460	0.615610	0.474672	0	0.640047	0	2.763307	0.141990	0.479588	0	0.370573	0.001850	0.217790	1.426930	0.008503	0.183320	9.056634	0	0	0	0.731644	0.276584	0.184940	0	0	0.439760	0.512386	0.014032	0.184210	0.016220	1.840384	0.383620	0	0.228560	3.346914	1.917105	0.312610	0.598860	13.170831	0.058520	0.060443	0.849289	3.799639	4.072859	0.684890	0.042481	0	0.333881	2.085906	1.154042	0.107748	0	5.779910	0.306375	0.063864	1.047070	0	0.020410	0	0.314403	0.086026	0.514944	0.001530	0.225137	0	0.189876	0	0	2.050163	0.789172	0	0	0.145120	0	0.455874	0.121493	0.485049	0.016950	0	5.456199	3.958715	3.850430	0	0.807600	0.648540	0	0.001370	0.927410	0	0	0.065255	0.898684	2.636406	2.998404	0.865453	0.122430	7.147481	0	0.513613	0.045099	8.012471	0	0
s__Bacteroides_plebeius	16.593448	8.632492	0	1.897541	0	0	0	12.592037	0.386794	17.116432	5.733950	0	0	0.003280	15.105760	0	0	13.297570	19.206495	0	0	0	9.273682	0	0	9.230148	0	0	0	0	0.077947	1.177993	0	17.491496	5.518811	54.974989	0	0	11.238372	19.106603	1.625239	0	0	0	0	3.121420	3.801111	0	17.316153	0	0	0	18.639846	5.414869	2.092241	0	0	26.757813	41.717990	0	3.959930	0	0	0	14.990582	0.005170	20.984268	0	0	5.868867	0	4.693636	50.566870	9.303839	22.195747	0	0	0	0	0.106350	17.959233	7.257183	0	0.976666	0	2.703011	0	14.317366	0	0	0	0	1.552641	0	0	0	0	0	17.658717	0	0	0	0	0	0	0	0	0.521358	0	0	0	0	0	4.188720	0	13.304169	0	0	7.731440	0	0	0.782328	0	0	0	0	0	0	0	0	0.001060	0	0	0	0	20.782191	0	0	0	0	0	0	21.170530	0	4.281920	0	0	0	0	0	0	6.824988	0	2.446720	7.826584	0	8.473175	29.061821	0	0	0	0	12.110091	0.523450	0	0	0	0	0	0.259944	25.786998	3.943420	0	0	3.310077	0	38.408772	43.311417	0	0	52.887386	0	0	0	0	0	0	8.282063	5.073790	0	0	0	15.642064	0	10.241400	0	0	6.891747	0	0	0.463924	0	0	0	0	0	0	0	0.402186	15.898231	46.933272	0	0	0	24.888234	0	0	0	1.158020	0	0	0	0	0	0	0	0	6.608891	0	5.299471	0	0	0	0	0	0	0	0	8.524080	0	0	0	14.439326	0	5.814273	0
s__Bacteroides_salyersiae	0	0	0	0.054372	0	0	0	0	0.646574	0	0	0	0	0	0	0.090237	0	0	0	0	0	0	0.448253	0.188890	0	0	0	0	0	0	0	0	0	0	0	0.130902	0	0	0.042553	0	0.254040	0	0	0	0	0	0	0.021822	0	0	0	0	0.368990	0	0	0	6.422360	0	0.272520	0	0	0	1.904541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.410200	0.164001	3.513356	0	0	0	0	0.131220	0	0	0	0	0	0	0	0	0	0	0.028225	0	0.175721	2.270280	0	0	0	0	0	0	0	0.006001	0	0	0.199108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079602	0	0	0	5.553649	0	0	0	0	0	0.891133	0	0.002620	0	0	0	0.622488	0	0.149180	0	0	0	0	0	0	0	10.544209	0	0	0	0	0	0	0	0	0	2.387760	0	0	0	0	0	0	0.008433	0	0.109016	0	0	0	0	0	0	0	0	0.408190	0	2.636961	0.082957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489910	0	0	0	0	0	0	0	0	0	0	0.095816	3.704800	0	0	0	0.854100	0	0	0
s__Bacteroides_sp_CAG_144	0	0	0	0.009830	0	0	0.154724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.359304	0	0.012661	0.026721	0	0	0	0	0	0.189625	0	0	0	0.304405	0	0	7.575520	0	0	0	0.215038	0.276935	0	0	0	0	0.038930	0	0	0	0	0.185760	0	0	0	0	0.662620	0	0	0	0.363154	0	0	1.126860	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592591	0	0	0.270968	0	0	0	0	0	0.086440	0	0.012612	0.819766	0	0	0	0.373710	0	0	0	1.623062	0	0	0	0	0	0	0	0	0	0.052200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410064	0	0	0	0	1.108858	0	0	1.490444	0.519532	0	0	0	0	0	0	0	0.136250	0	1.372994	0.205121	0	0	0	0	0.336890	0	0	0	0	0	0	1.257252	0	0	0	0.325260	0.000230	0	0	0	0	0	0	0	0	0	0	0	0	0	3.024237	0	0.261292	0	0	0	0.116782	0	0	0	0	0.048454	0	1.232880	0	0	0	0.261675	0	0.842610	0	0	0	0	0	0	0	0	0.622120	0	0	0	0.126012	0	0	0	0	0	0	0.966592	0	0	0	0
